Metric,Value
Early_Mi_Beta_vs_Delta_Accuracy_Pearson_r,0.2491252054513199
Early_Mi_Beta_vs_Delta_Accuracy_Pearson_p,0.5180070125708192
Early_Mi_Beta_vs_Delta_Accuracy_Spearman_rho,0.2510482226267169
Early_Mi_Beta_vs_Delta_Accuracy_Spearman_p,0.5146735855804967
Early_Mi_Beta_vs_Delta_F1_Pearson_r,0.0713908275963773
Early_Mi_Beta_vs_Delta_F1_Pearson_p,0.8551800823226958
Early_Mi_Beta_vs_Delta_F1_Spearman_rho,0.1666666666666666
Early_Mi_Beta_vs_Delta_F1_Spearman_p,0.668231040071504
Peak_Beta_vs_Delta_Accuracy_Pearson_r,0.2547143288087151
Peak_Beta_vs_Delta_Accuracy_Pearson_p,0.5083424304251465
Peak_Beta_vs_Delta_Accuracy_Spearman_rho,0.2510482226267169
Peak_Beta_vs_Delta_Accuracy_Spearman_p,0.5146735855804967
Peak_Beta_vs_Delta_F1_Pearson_r,0.0789601994179634
Peak_Beta_vs_Delta_F1_Pearson_p,0.8399770041566063
Peak_Beta_vs_Delta_F1_Spearman_rho,0.1666666666666666
Peak_Beta_vs_Delta_F1_Spearman_p,0.668231040071504
